Year,name,NewVac,NewSee,Vac,See,Hir,Month,Period
1972,1,499917,439165,1090057,1348113,107354,1,Jan 1972
1972,2,507616,304866,1246242,1384977,114557,2,Feb 1972
1972,3,552135,338372,1481134,1448426,188953,3,Mar 1972
1972,4,469622,353065,1423137,1395109,271614,4,Apr 1972
1972,5,454918,367923,1343929,1241884,203129,5,May 1972
1972,6,428891,316584,1243770,1136016,144241,6,Jun 1972
1972,7,427949,281982,1185832,1092111,126475,7,Jul 1972
1972,8,600902,286104,1339732,1076389,123168,8,Aug 1972
1972,9,612786,293358,1516789,1053375,137601,9,Sep 1972
1972,10,584346,273538,1605679,995532,141751,10,Oct 1972
1972,11,451616,250274,1491129,913216,148489,11,Nov 1972
1972,12,395040,460673,1367951,1061573,90363,12,Dec 1972
1973,1,773784,434457,1635691,1280751,117276,1,Jan 1973
1973,2,754444,294519,1901265,1309894,124045,2,Feb 1973
1973,3,756425,308991,2132784,1354732,189933,3,Mar 1973
1973,4,665965,319481,2051722,1297705,290666,4,Apr 1973
1973,5,666292,351410,1968780,1121987,198788,5,May 1973
1973,6,613235,279803,1847580,1016396,137884,6,Jun 1973
1973,7,617291,264109,1770332,975360,129529,7,Jul 1973
1973,8,778899,266309,1911368,972886,121404,8,Aug 1973
1973,9,772730,255947,2035485,954185,131800,9,Sep 1973
1973,10,725883,263583,2111761,916373,146575,10,Oct 1973
1973,11,508311,222494,1902085,827525,139153,11,Nov 1973
1973,12,332586,448465,1564640,994038,80154,12,Dec 1973
1974,1,608217,409682,1542952,1209302,100401,1,Jan 1974
1974,2,623716,268692,1664993,1253422,106300,2,Feb 1974
1974,3,624344,275885,1863521,1303961,166888,3,Mar 1974
1974,4,540865,331931,1730278,1305150,284317,4,Apr 1974
1974,5,471800,348749,1570419,1142730,202041,5,May 1974
1974,6,386024,285998,1318178,1042731,129150,6,Jun 1974
1974,7,402344,283867,1201672,1047880,116166,7,Jul 1974
1974,8,468690,273023,1213953,1047853,106287,8,Aug 1974
1974,9,469834,294380,1273070,1071918,125862,9,Sep 1974
1974,10,430238,317372,1262751,1079905,135087,10,Oct 1974
1974,11,284917,293950,1092288,1051686,129066,11,Nov 1974
1974,12,218392,551885,881946,1306910,76617,12,Dec 1974
1975,1,371332,451645,895306,1527707,87799,1,Jan 1975
1975,2,393112,330011,988107,1612242,91860,2,Feb 1975
1975,3,469700,376389,1187955,1746406,182820,3,Mar 1975
1975,4,372409,365417,1130657,1687089,255733,4,Apr 1975
1975,5,304127,374147,978163,1526654,153035,5,May 1975
1975,6,264581,298299,835255,1460835,97556,6,Jun 1975
1975,7,284917,276939,783429,1453190,86921,7,Jul 1975
1975,8,328122,247382,818008,1427871,79661,8,Aug 1975
1975,9,370202,286741,905431,1435359,94299,9,Sep 1975
1975,10,319229,286561,910735,1379755,103821,10,Oct 1975
1975,11,216772,249248,800199,1288767,103909,11,Nov 1975
1975,12,180276,506128,662824,1492502,63444,12,Dec 1975
1976,1,344679,447032,741966,1680128,71183,1,Jan 1976
1976,2,373149,296629,875621,1675308,77186,2,Feb 1976
1976,3,457725,333136,1112671,1732656,150941,3,Mar 1976
1976,4,386329,377925,1118945,1712591,263821,4,Apr 1976
1976,5,317395,358291,959395,1509033,146534,5,May 1976
1976,6,301305,297547,871709,1406170,99394,6,Jun 1976
1976,7,301919,269238,835679,1313765,91248,7,Jul 1976
1976,8,363186,264466,878758,1264472,81318,8,Aug 1976
1976,9,370511,289954,951304,1263609,98318,9,Sep 1976
1976,10,314501,279372,944066,1240917,100484,10,Oct 1976
1976,11,246535,288464,858229,1237308,110172,11,Nov 1976
1976,12,184338,457879,703656,1401780,69995,12,Dec 1976
1977,1,348770,518475,776072,1655016,84467,1,Jan 1977
1977,2,335874,309319,852127,1627607,84399,2,Feb 1977
1977,3,423651,357114,1052694,1661933,159919,3,Mar 1977
1977,4,337762,402335,996127,1637139,245654,4,Apr 1977
1977,5,270252,385415,830688,1512381,148236,5,May 1977
1977,6,250395,317757,729750,1433630,100695,6,Jun 1977
1977,7,245585,281970,679219,1353943,82585,7,Jul 1977
1977,8,321767,295816,735648,1339697,78666,8,Aug 1977
1977,9,335120,316263,819640,1348096,95105,9,Sep 1977
1977,10,289182,310078,838184,1350804,102775,10,Oct 1977
1977,11,216339,300737,752429,1340085,101416,11,Nov 1977
1977,12,161266,414556,617779,1452553,63485,12,Dec 1977
1978,1,304694,547153,681701,1731194,72797,1,Jan 1978
1978,2,334909,322935,787640,1704909,79681,2,Feb 1978
1978,3,431186,366495,1003531,1736328,171792,3,Mar 1978
1978,4,348634,406197,977980,1700466,232191,4,Apr 1978
1978,5,285853,401361,844240,1615032,136048,5,May 1978
1978,6,273877,310835,771910,1523533,96026,6,Jun 1978
1978,7,280217,274989,754230,1430716,83216,7,Jul 1978
1978,8,356030,284431,833801,1398495,79166,8,Aug 1978
1978,9,364960,298747,914649,1382321,90366,9,Sep 1978
1978,10,320233,296901,930411,1373251,100874,10,Oct 1978
1978,11,247815,276441,852367,1332553,96839,11,Nov 1978
1978,12,187912,373466,728036,1416121,62655,12,Dec 1978
1979,1,364615,546404,825450,1705128,74077,1,Jan 1979
1979,2,381222,318368,939409,1674557,87676,2,Feb 1979
1979,3,474219,335000,1167035,1675207,181242,3,Mar 1979
1979,4,387518,382929,1124975,1617332,222966,4,Apr 1979
1979,5,351979,390111,1018513,1546181,139015,5,May 1979
1979,6,309846,283356,939077,1431408,94725,6,Jun 1979
1979,7,326644,270424,924597,1360614,85891,7,Jul 1979
1979,8,417224,273955,1006398,1326807,80508,8,Aug 1979
1979,9,425655,271224,1082228,1300996,89554,9,Sep 1979
1979,10,384820,292645,1132578,1307688,103637,10,Oct 1979
1979,11,292136,263024,1058394,1268582,98586,11,Nov 1979
1979,12,221895,358411,920323,1346407,64523,12,Dec 1979
1980,1,403858,547544,993533,1635958,76067,1,Jan 1980
1980,2,415728,326476,1103327,1621017,90568,2,Feb 1980
1980,3,474007,319698,1294040,1612040,178253,3,Mar 1980
1980,4,425397,419275,1235298,1605633,234399,4,Apr 1980
1980,5,359703,387065,1082338,1509975,138661,5,May 1980
1980,6,315341,293347,984985,1415727,91972,6,Jun 1980
1980,7,339769,289900,976664,1361520,88270,7,Jul 1980
1980,8,404712,279866,1021997,1329150,76451,8,Aug 1980
1980,9,402265,312551,1085159,1348083,96825,9,Sep 1980
1980,10,350905,314367,1100250,1345481,104982,10,Oct 1980
1980,11,263347,276577,1010907,1310380,98525,11,Nov 1980
1980,12,226038,415393,897216,1432357,76462,12,Dec 1980
1981,1,375864,578857,959311,1716487,84144,1,Jan 1981
1981,2,374286,336420,1041216,1688330,93113,2,Feb 1981
1981,3,444527,379266,1216675,1739112,187815,3,Mar 1981
1981,4,382505,476662,1174114,1748281,229329,4,Apr 1981
1981,5,323927,408191,1018141,1660031,140860,5,May 1981
1981,6,309535,327411,965740,1567783,100828,6,Jun 1981
1981,7,333896,303023,968343,1481574,86193,7,Jul 1981
1981,8,414147,304106,1039731,1461744,77628,8,Aug 1981
1981,9,383600,334123,1105290,1486318,94753,9,Sep 1981
1981,10,339739,325150,1107362,1485580,102176,10,Oct 1981
1981,11,256197,288311,1017462,1447579,95070,11,Nov 1981
1981,12,224973,399091,928937,1527316,63131,12,Dec 1981
1982,1,342650,585717,977536,1815087,76027,1,Jan 1982
1982,2,362644,352978,1053590,1774319,85008,2,Feb 1982
1982,3,444246,411647,1218112,1841322,182071,3,Mar 1982
1982,4,356476,515937,1150427,1877624,226182,4,Apr 1982
1982,5,299472,411485,947571,1767654,138678,5,May 1982
1982,6,288033,339528,878870,1676001,93263,6,Jun 1982
1982,7,302182,309849,868103,1591336,80066,7,Jul 1982
1982,8,381836,314997,951938,1569078,76844,8,Aug 1982
1982,9,350431,335600,1009346,1559659,90854,9,Sep 1982
1982,10,302387,322030,1008363,1541402,93660,10,Oct 1982
1982,11,247357,306078,948780,1517869,91241,11,Nov 1982
1982,12,206559,403234,858942,1592428,59640,12,Dec 1982
1983,1,324023,583216,910895,1876507,69532,1,Jan 1983
1983,2,336924,341343,980547,1833645,80564,2,Feb 1983
1983,3,440810,387987,1162260,1874189,181108,3,Mar 1983
1983,4,355799,497870,1101492,1911729,216795,4,Apr 1983
1983,5,301450,438236,930508,1834383,136091,5,May 1983
1983,6,292035,347998,870685,1734967,97589,6,Jun 1983
1983,7,300229,312535,860016,1651404,82718,7,Jul 1983
1983,8,406251,335738,970745,1644283,82095,8,Aug 1983
1983,9,364626,342930,1040923,1630191,99453,9,Sep 1983
1983,10,328728,334480,1057717,1610215,102795,10,Oct 1983
1983,11,276616,305861,1008252,1562638,98624,11,Nov 1983
1983,12,226697,388540,914256,1605693,67688,12,Dec 1983
1984,1,353319,567957,975883,1862633,76792,1,Jan 1984
1984,2,383158,363942,1061600,1826358,90439,2,Feb 1984
1984,3,467868,397409,1239354,1866501,183246,3,Mar 1984
1984,4,396568,519916,1206108,1946293,226446,4,Apr 1984
1984,5,341532,452856,1023590,1859062,151801,5,May 1984
1984,6,311548,347432,952969,1735895,100988,6,Jun 1984
1984,7,335552,329459,956444,1675033,91195,7,Jul 1984
1984,8,438572,337336,1064100,1650702,87133,8,Aug 1984
1984,9,374803,329716,1113428,1613023,103664,9,Sep 1984
1984,10,358937,351884,1138315,1610661,114794,10,Oct 1984
1984,11,296743,312510,1066948,1547791,105244,11,Nov 1984
1984,12,233975,376486,949811,1566015,72254,12,Dec 1984
1985,1,371836,553991,1004884,1790215,81264,1,Jan 1985
1985,2,396116,345991,1087732,1738825,93692,2,Feb 1985
1985,3,466538,379492,1251024,1772065,183807,3,Mar 1985
1985,4,411227,533183,1221570,1847297,231204,4,Apr 1985
1985,5,339262,433470,1025572,1741518,154768,5,May 1985
1985,6,306019,324180,941892,1598809,104406,6,Jun 1985
1985,7,340634,339573,937491,1562395,97885,7,Jul 1985
1985,8,429167,326893,1029583,1524015,89121,8,Aug 1985
1985,9,373601,338415,1082553,1519868,108128,9,Sep 1985
1985,10,348075,357537,1095360,1531107,115553,10,Oct 1985
1985,11,284085,309241,1022538,1471744,101685,11,Nov 1985
1985,12,228715,374892,910712,1499092,73056,12,Dec 1985
1986,1,366226,567811,971734,1745004,82236,1,Jan 1986
1986,2,373641,358891,1034219,1720913,94236,2,Feb 1986
1986,3,445530,400067,1192245,1779934,183695,3,Mar 1986
1986,4,373917,545125,1125087,1863482,221330,4,Apr 1986
1986,5,305108,430340,928084,1771540,152100,5,May 1986
1986,6,276286,336608,832145,1648157,100805,6,Jun 1986
1986,7,307417,336575,830914,1603443,92076,7,Jul 1986
1986,8,386687,319428,918340,1564809,83789,8,Aug 1986
1986,9,343810,348941,975933,1574201,105282,9,Sep 1986
1986,10,326280,349092,994444,1568933,110185,10,Oct 1986
1986,11,256546,288263,924713,1497223,92535,11,Nov 1986
1986,12,220997,372154,842325,1531047,68773,12,Dec 1986
1987,1,344917,566820,892066,1773495,78242,1,Jan 1987
1987,2,362351,348521,970185,1742047,91728,2,Feb 1987
1987,3,458137,390163,1143617,1786729,182678,3,Mar 1987
1987,4,388767,524715,1110983,1860812,215814,4,Apr 1987
1987,5,321798,407470,937330,1756873,146915,5,May 1987
1987,6,331348,340485,903498,1656491,108773,6,Jun 1987
1987,7,366821,313429,934060,1586110,95955,7,Jul 1987
1987,8,418346,307751,1035871,1543082,90499,8,Aug 1987
1987,9,430078,326729,1145049,1530661,113622,9,Sep 1987
1987,10,420328,327681,1191723,1507665,121087,10,Oct 1987
1987,11,343068,273466,1148304,1428897,104706,11,Nov 1987
1987,12,294173,323064,1047432,1416552,75446,12,Dec 1987
1988,1,467581,509591,1129793,1619207,87058,1,Jan 1988
1988,2,478625,330784,1235592,1595984,105043,2,Feb 1988
1988,3,558718,352001,1435056,1606753,187185,3,Mar 1988
1988,4,498420,471509,1401663,1649901,219617,4,Apr 1988
1988,5,407152,367463,1235083,1552254,151206,5,May 1988
1988,6,444862,296513,1199699,1440777,111272,6,Jun 1988
1988,7,462770,271470,1227272,1361979,94765,7,Jul 1988
1988,8,516975,295761,1338709,1357495,94996,8,Aug 1988
1988,9,529975,293870,1423016,1335351,117111,9,Sep 1988
1988,10,498632,292965,1447729,1323980,119254,10,Oct 1988
1988,11,424922,255188,1375082,1261971,103943,11,Nov 1988
1988,12,370170,309544,1247570,1269768,73416,12,Dec 1988
1989,1,556227,471064,1323784,1470038,85519,1,Jan 1989
1989,2,535081,296134,1418700,1437663,101456,2,Feb 1989
1989,3,632480,344835,1637728,1485304,189839,3,Mar 1989
1989,4,559418,429495,1566865,1502770,207017,4,Apr 1989
1989,5,480774,338787,1435532,1414966,142357,5,May 1989
1989,6,492595,265247,1381233,1298445,102879,6,Jun 1989
1989,7,505996,242637,1386389,1228892,84583,7,Jul 1989
1989,8,556462,268061,1480687,1233153,85591,8,Aug 1989
1989,9,558982,267193,1545184,1216366,105084,9,Sep 1989
1989,10,521915,265457,1551922,1200843,108831,10,Oct 1989
1989,11,458599,227884,1477770,1138208,90600,11,Nov 1989
1989,12,393057,287674,1324647,1152030,64586,12,Dec 1989
1990,1,575258,422151,1374348,1327417,75257,1,Jan 1990
1990,2,585618,269828,1511218,1309198,89028,2,Feb 1990
1990,3,642915,310180,1711192,1341625,169605,3,Mar 1990
1990,4,567387,393867,1631594,1363663,185843,4,Apr 1990
1990,5,512196,325025,1497168,1306068,131908,5,May 1990
1990,6,505818,234057,1442521,1180189,87883,6,Jun 1990
1990,7,542641,233363,1474985,1132343,76763,7,Jul 1990
1990,8,564904,248996,1549490,1127464,75263,8,Aug 1990
1990,9,550262,231998,1595227,1108632,87356,9,Sep 1990
1990,10,569768,261153,1618579,1123116,97857,10,Oct 1990
1990,11,464859,213003,1514533,1061090,80648,11,Nov 1990
1990,12,410747,269043,1375561,1083819,58072,12,Dec 1990
1991,1,606280,414189,1448340,1267684,70696,1,Jan 1991
1991,2,592927,246401,1562386,1240110,84009,2,Feb 1991
1991,3,625945,270517,1739278,1254028,145960,3,Mar 1991
1991,4,588838,390192,1673291,1313459,171969,4,Apr 1991
1991,5,505685,304066,1517431,1255668,126092,5,May 1991
1991,6,484500,221224,1435537,1139139,79427,6,Jun 1991
1991,7,546736,246619,1465200,1115900,74620,7,Jul 1991
1991,8,529439,244300,1495969,1112948,68276,8,Aug 1991
1991,9,520209,240643,1536502,1123716,83743,9,Sep 1991
1991,10,543267,260291,1537841,1123619,93151,10,Oct 1991
1991,11,440721,217635,1433243,1071729,75280,11,Nov 1991
1991,12,384050,279264,1297091,1109674,54964,12,Dec 1991
1992,1,559214,422578,1339548,1305920,68774,1,Jan 1992
1992,2,539196,268592,1427693,1304124,83303,2,Feb 1992
1992,3,568752,301848,1568948,1338707,147042,3,Mar 1992
1992,4,530241,427108,1492511,1413848,171845,4,Apr 1992
1992,5,428956,306679,1314011,1342456,116796,5,May 1992
1992,6,429493,264791,1242420,1268601,85687,6,Jun 1992
1992,7,466109,271938,1230511,1238653,74057,7,Jul 1992
1992,8,433653,261303,1244031,1234430,66401,8,Aug 1992
1992,9,468675,285419,1296385,1262628,86308,9,Sep 1992
1992,10,447737,292224,1269457,1274422,90021,10,Oct 1992
1992,11,350685,247293,1171659,1236369,75035,11,Nov 1992
1992,12,336985,303794,1058385,1267225,57237,12,Dec 1992
1993,1,455253,438528,1092485,1443691,63501,1,Jan 1993
1993,2,456915,300179,1185170,1465620,80666,2,Feb 1993
1993,3,527043,373485,1330311,1550063,151803,3,Mar 1993
1993,4,447267,486089,1261916,1644857,170322,4,Apr 1993
1993,5,347969,334756,1083355,1558715,114657,5,May 1993
1993,6,360066,294120,999999,1478312,86519,6,Jun 1993
1993,7,379393,303146,975880,1445690,75168,7,Jul 1993
1993,8,364251,306974,995717,1448077,72851,8,Aug 1993
1993,9,385417,320206,1030517,1460323,86187,9,Sep 1993
1993,10,358708,319657,998717,1465612,85618,10,Oct 1993
1993,11,320420,299293,945415,1446700,80514,11,Nov 1993
1993,12,284567,339929,857477,1464666,60404,12,Dec 1993
1994,1,383968,488655,898126,1657435,67139,1,Jan 1994
1994,2,392428,322349,973375,1653282,79818,2,Feb 1994
1994,3,477035,400340,1133203,1726636,148903,3,Mar 1994
1994,4,401626,512751,1087018,1820291,171206,4,Apr 1994
1994,5,328834,379992,959034,1761919,122338,5,May 1994
1994,6,349989,331966,909925,1672522,96606,6,Jun 1994
1994,7,352407,305793,894556,1601114,80012,7,Jul 1994
1994,8,367381,331491,944404,1593953,81469,8,Aug 1994
1994,9,384366,329298,1000915,1575066,94690,9,Sep 1994
1994,10,351774,334322,985349,1570589,94843,10,Oct 1994
1994,11,314833,297830,933683,1518772,86552,11,Nov 1994
1994,12,279911,336282,841812,1516299,65647,12,Dec 1994
1995,1,376147,490570,887910,1688381,70667,1,Jan 1995
1995,2,435314,375863,1012885,1714651,91820,2,Feb 1995
1995,3,487008,434875,1171156,1809202,159203,3,Mar 1995
1995,4,395253,533128,1118266,1905659,176833,4,Apr 1995
1995,5,344347,403979,976511,1850550,127003,5,May 1995
1995,6,347556,349091,915243,1765103,101465,6,Jun 1995
1995,7,344198,326100,894636,1702183,82918,7,Jul 1995
1995,8,371427,344442,939482,1697094,80646,8,Aug 1995
1995,9,373691,347315,982512,1677765,92582,9,Sep 1995
1995,10,362348,361353,988424,1686908,98286,10,Oct 1995
1995,11,325564,302395,938135,1619041,84723,11,Nov 1995
1995,12,296655,348124,875534,1604287,66053,12,Dec 1995
1996,1,389039,484969,925950,1756915,70557,1,Jan 1996
1996,2,433735,360941,1036365,1760535,90078,2,Feb 1996
1996,3,491333,384017,1190212,1791684,143712,3,Mar 1996
1996,4,433148,560189,1179485,1926938,183739,4,Apr 1996
1996,5,388269,405454,1061645,1856868,126611,5,May 1996
1996,6,359829,314580,1002969,1737603,93721,6,Jun 1996
1996,7,414327,353709,1033918,1713427,89289,7,Jul 1996
1996,8,405588,335320,1065376,1681357,79553,8,Aug 1996
1996,9,416311,342214,1124155,1680968,96178,9,Sep 1996
1996,10,436805,376520,1153559,1700590,103056,10,Oct 1996
1996,11,380678,305300,1106475,1626769,86312,11,Nov 1996
1996,12,332176,340735,1032799,1618224,69760,12,Dec 1996
1997,1,456364,512765,1085899,1797258,76614,1,Jan 1997
1997,2,456749,369267,1166290,1803578,92530,2,Feb 1997
1997,3,529627,409378,1315152,1863301,148114,3,Mar 1997
1997,4,455342,576702,1267679,2002029,188347,4,Apr 1997
1997,5,403163,409047,1128676,1921081,128852,5,May 1997
1997,6,384860,343569,1072894,1817075,100056,6,Jun 1997
1997,7,413725,355123,1069445,1772855,88884,7,Jul 1997
1997,8,400688,343549,1080029,1743494,79280,8,Aug 1997
1997,9,426356,380947,1135890,1778273,101814,9,Sep 1997
1997,10,423541,402706,1137295,1808534,105321,10,Oct 1997
1997,11,343004,303324,1055214,1718165,81450,11,Nov 1997
1997,12,322416,384589,976010,1748288,71187,12,Dec 1997
1998,1,404653,549409,983094,1940936,75788,1,Jan 1998
1998,2,399009,404174,1036931,1970593,90464,2,Feb 1998
1998,3,471776,503270,1139553,2110109,140568,3,Mar 1998
1998,4,387962,646157,1071534,2289066,189770,4,Apr 1998
1998,5,322131,444873,916251,2199984,121535,5,May 1998
