Vac,See,Hir,Q,Year
3817433,4181516,410864,1,1972
4010836,3773009,618984,2,1972
4042353,3221875,387244,3,1972
4464759,2970321,380603,4,1972
5669740,3945377,431254,1,1973
5868082,3436088,627338,2,1973
5717185,2902431,382733,3,1973
5578486,2737936,365882,4,1973
5071466,3766685,373589,1,1974
4618875,3490611,615508,2,1974
3688695,3167651,348315,3,1974
3236985,3438501,340770,4,1974
3071368,4886355,362479,1,1975
2944075,4674578,506324,2,1975
2506868,4316420,260881,3,1975
2373758,4161024,271174,4,1975
2730258,5088092,299310,1,1976
2950049,4627794,509749,2,1976
2665741,3841846,270884,3,1976
2505951,3880005,280651,4,1976
2680893,4944556,328785,1,1977
2556565,4583150,494585,2,1977
2234507,4041736,256356,3,1977
2208392,4143442,267676,4,1977
2472872,5172431,324270,1,1978
2594130,4839031,464265,2,1978
2502680,4211532,252748,3,1978
2510814,4121925,260368,4,1978
2931894,5054892,342995,1,1979
3082565,4594921,456706,2,1979
3013223,3988417,255953,3,1979
3111295,3922677,266746,4,1979
3390900,4869015,344888,1,1980
3302621,4531335,465032,2,1980
3083820,4038753,261546,3,1980
3008373,4088218,279969,4,1980
3217202,5143929,365072,1,1981
3157995,4976095,471017,2,1981
3113364,4429636,258574,3,1981
3053761,4460475,260377,4,1981
3249238,5430728,343106,1,1982
2976868,5321279,458123,2,1982
2829387,4720073,247764,3,1982
2816085,4651699,244541,4,1982
3053702,5584341,331204,1,1983
2902685,5481079,450475,2,1983
2871684,4925878,264266,3,1983
2980225,4778546,269107,4,1983
3276837,5555492,350477,1,1984
3182667,5541250,479235,2,1984
3133972,4938758,281992,3,1984
3155074,4724467,292292,4,1984
3343640,5301105,358763,1,1985
3189034,5187624,490378,2,1985
3049627,4606278,295134,3,1985
3028610,4501943,290294,4,1985
3198198,5245851,360167,1,1986
2885316,5283179,474235,2,1986
2725187,4742453,281147,3,1986
2761482,4597203,271493,4,1986
3005868,5302271,352648,1,1987
2951811,5274176,471502,2,1987
3114980,4659853,300076,3,1987
3387459,4353114,301239,4,1987
3800441,4821944,379286,1,1988
3836445,4642932,482095,2,1988
3988997,4054825,306872,3,1988
4070381,3855719,296613,4,1988
4380212,4393005,376814,1,1989
4383630,4216181,452253,2,1989
4412260,3678411,275258,3,1989
4354339,3491081,264017,4,1989
4596758,3978240,333890,1,1990
4571283,3849920,405634,2,1990
4619702,3368439,239382,3,1990
4508673,3268025,236577,4,1990
4750004,3761822,300665,1,1991
4626259,3708266,377488,2,1991
4497671,3352564,226639,3,1991
4268175,3305022,223395,4,1991
4336189,3948751,299119,1,1992
4048942,4024905,374328,2,1992
3770927,3735711,226766,3,1992
3499501,3778016,222293,4,1992
3607966,4459374,295970,1,1993
3345270,4681884,371498,2,1993
3002114,4354090,234206,3,1993
2801609,4376978,226536,4,1993
3004704,5037353,295860,1,1994
2955977,5254732,390150,2,1994
2839875,4770133,256171,3,1994
2760844,4605660,247042,4,1994
3071951,5212234,321690,1,1995
3010020,5521312,405301,2,1995
2816630,5077042,256146,3,1995
2802093,4910236,249062,4,1995
3152527,5309134,304347,1,1996
3244099,5521409,404071,2,1996
3223449,5075752,265020,3,1996
3292833,4945583,259128,4,1996
3567341,5464137,317258,1,1997
3469249,5740185,417255,2,1997
3285364,5294622,269978,3,1997
3168519,5274987,257958,4,1997
3159578,6021638,306820,1,1998
2842910,6625667,412885,2,1998
2569927,6309787,276574,3,1998
2512880,6255848,270030,4,1998
2684448,6642699,308446,1,1999
2506886,7067500,407951,2,1999
2458608,6518680,286467,3,1999
2566311,6290475,280586,4,1999
2909933,6672085,328829,1,2000
2932759,6947216,431065,2,2000
3057086,6375599,311997,3,2000
3247762,6162732,305951,4,2000
3426497,6533739,334790,1,2001
3194485,7079957,439103,2,2001
2990220,6619810,305584,3,2001
2878266,6764520,304326,4,2001
2964139,7231503,331604,1,2002
2910579,7738883,442163,2,2002
2939000,7066688,329461,3,2002
3074958,6682128,323876,4,2002
3294904,6826990,349064,1,2003
3232338,7269104,451079,2,2003
3321337,6570386,343769,3,2003
3646546,6025786,336322,4,2003
3938308,6180266,374524,1,2004
3866275,6413482,448310,2,2004
4001777,5640596,351231,3,2004
4273243,5159195,339940,4,2004
4477183,5404798,370917,1,2005
4406739,5726888,453920,2,2005
4423781,5233571,352888,3,2005
4540601,4922860,339990,4,2005
4831412,5112651,379254,1,2006
4690182,5347367,450328,2,2006
4696731,4912376,353264,3,2006
4652770,4659908,340035,4,2006
4695333,4887372,367433,1,2007
4450463,5113246,428732,2,2007
4378719,4712393,330962,3,2007
4216755,4518577,323298,4,2007
4007734,4641819,326444,1,2008
3650565,4870199,339486,2,2008
3501727,4682563,309770,3,2008
3241283,4778642,288717,4,2008
2838236,5851640,312480,1,2009
2292697,6840822,320942,2,2009
2294831,6591034,322629,3,2009
2336978,6144738,315365,4,2009
2457537,6219458,329923,1,2010
2435995,6547525,354204,2,2010
2692747,5995051,340326,3,2010
2882277,5606095,321854,4,2010
3103983,5716148,333950,1,2011
3004773,6224547,367196,2,2011
3270362,5698475,349792,3,2011
3426291,5251991,330473,4,2011
3606078,5321505,349545,1,2012
3555233,5656667,375296,2,2012
3681582,5207806,331616,3,2012
3738439,4996665,320660,4,2012
3843168,5058225,332898,1,2013
3790566,5322947,358880,2,2013
4000440,4838003,327120,3,2013
4157529,4472553,310951,4,2013
4291160,4472745,327732,1,2014
4150360,4698270,344026,2,2014
4202317,4323360,308224,3,2014
4207470,4057243,284017,4,2014
4355241,4158156,308201,1,2015
4159432,4337249,318026,2,2015
4307003,4026505,282287,3,2015
4387419,3832997,270057,4,2015
4571153,3912118,295035,1,2016
4412120,4006796,295690,2,2016
4512978,3730905,264360,3,2016
4630903,3540654,251634,4,2016
4837728,3656878,277286,1,2017
4723492,3748799,280050,2,2017
4841937,3501657,250261,3,2017
5006344,3345625,241816,4,2017
5095751,3400372,254484,1,2018
4963828,3532530,262482,2,2018
4993107,3276883,226380,3,2018
5085084,3201191,225646,4,2018
5125448,3280221,233436,1,2019
4886968,3407396,234237,2,2019
4900360,3268625,212181,3,2019
4870989,3152077,201909,4,2019
4544618,3265237,193379,1,2020
3728337,3445727,161105,2,2020
3667105,3681840,161208,3,2020
3889614,3687184,164027,4,2020
4017003,3679847,178207,1,2021
3985481,3783006,178661,2,2021
4096931,3602056,160215,3,2021
4348541,3595937,161150,4,2021
4533196,3665512,171142,1,2022
4483417,3752079,173278,2,2022
4600047,3542079,156682,3,2022
4693841,3371748,151326,4,2022
4711798,3471919,169240,1,2023
4512119,3614713,168118,2,2023
4540073,3508622,152083,3,2023
4582885,3428172,152589,4,2023
4585300,3507198,160388,1,2024
4394646,3641020,159209,2,2024
4417879,3482968,139258,3,2024
NA,NA,NA,4,2024
